Account name,Domain,From,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project,Role
Gminne Centrum Kultury,http://gcksitwojslawice.naszdomkultury.pl/,http://gcksitwojslawice.naszdomkultury.pl/,static,,,,,Chidusz,SEO
Biblioteka ZSO,http://lokopernik.pl,http://lokopernik.pl/biblio.php,static,,,,,Chidusz,SEO
Biblioteka Publiczna,http://www.bibliotekalapy.pl/,http://www.bibliotekalapy.pl/,static,,,,,Chidusz,SEO
Biblioteka Publiczna w Objeździe,http://kulturaustka.pl,http://kulturaustka.pl,,,,,,Chidusz,
Gminny Osrodek Kultury Biblioteka,http://www.gokhansk.pl,http://www.gokhansk.pl,static,,,,,Chidusz,SEO
Miejska Biblioteka Publiczna,http://www.mbp.cieszanow.eu,http://www.mbp.cieszanow.eu,static,,,,,Chidusz,SEO
Gminna Biblioteka Publiczna,http://www.gbpsochocin.pl,http://www.gbpsochocin.pl,,,,,,Chidusz,
Biblioteka Szkolna AZSO,http://biblioteka.slowacki.edu.pl/,http://biblioteka.slowacki.edu.pl/linki/,static,,,,,Chidusz,SEO
Biblioteka,http://www.bibliotekaradziejow.cdx.pl/,http://www.bibliotekaradziejow.cdx.pl/strona.php5?st=16,static,,,,,Chidusz,SEO
Miejska Biblioteka Publiczna,http://www.biblioteka.wloclawek.pl/,http://www.biblioteka.wloclawek.pl/index.php,static,,,,,Chidusz,SEO
Miejska Biblioteka Publiczna,http://www.mbp.trzebinia.pl/,http://www.mbp.trzebinia.pl/,,,,,,Chidusz,
Gavri Rozwadowska,http://nanach-chasidut.pl/,http://nanach-chasidut.pl/,static,,,,,Chidusz,SEO
Miejski Ośrodek Kultury Biblioteka,http://mokib.pl/,http://mokib.pl/partnerzy/,,,,,,Chidusz,
Biblioteka Galeria Książki,http://mbp-oswiecim.pl/,http://mbp-oswiecim.pl/,static,,,,,Chidusz,SEO
I Liceum Ogólnokształcące Biblioteka,http://liceum.1lowagrowiec.eu/,http://liceum.1lowagrowiec.eu/,,,,,,Chidusz,
Miejska Biblioteka Publiczna,http://mbpmakow.blogspot.com,http://mbpmakow.blogspot.com,static,,,,,Chidusz,SEO
Zespół Szkół nr 1,https://www.zs1.wroc.pl/,https://www.zs1.wroc.pl/fundacja-zydowska/,static,,,,,Chidusz,SEO
GBP W DZIEMIANACH,http://biblioteka.dziemiany.pl,http://biblioteka.dziemiany.pl,,,,,,Chidusz,
Biblioteka Publiczna,http://www.biblioteka.kolbuszowa.pl,http://www.biblioteka.kolbuszowa.pl/8-dla-czytelnikow/70-czytelnia-im-k-skowronskiego.html,static,,,,,Chidusz,SEO
I LO im. E. Dembowskiego,http://www.zso10.gliwice.pl/,,,,,,,Chidusz,
II LO,http://www.lodzierzoniow.republika.pl,http://www.lodzierzoniow.republika.pl,,,,,,Chidusz,
Wojewódzka Biblioteka,http://www.rajska.info/,http://www.rajska.info/,static,,,,,Chidusz,SEO
Biblioteka Główna - WSG,http://biblioteka.wsg.byd.pl/,"http://biblioteka.wsg.byd.pl/news,3,2,5,Aktualnosci-biblioteczne.html",static,,,,,Chidusz,SEO
GOK Biblioteka Publiczna,http://gok.konskowola.pl/,http://gok.konskowola.pl/index.php/biblioteka-gok/o-nas,static,,,,,Chidusz,SEO
Księgarnia Massolit Felicjanek,http://www.massolit.com/,http://www.massolit.com/,,,,,,Chidusz,
Gminna Biblioteka Publiczna,http://www.koczala.pl/,http://www.koczala.pl/samorzad/jednostki-organizacyjne/gminna-biblioteka-publiczna/,static,,,,,Chidusz,SEO
"Biblioteka i Forum Kultury -Czytelnia
",http://bifk.info/,http://bifk.info/2018/02/21/magazyn-chidusz-w-naszej-czytelni/,static,,,,,Chidusz,SEO
Gminna Biblioteka Publiczna,http://www.morzeszczyn.naszabiblioteka.com,http://www.morzeszczyn.naszabiblioteka.com,static,,,,,Chidusz,SEO
Biblioteka Publiczna Miasta Pszów,,,,,,,,Chidusz,
Pedagogiczna Biblioteka Woj.,http://ken.pbw.lublin.pl,http://ken.pbw.lublin.pl/janow/,static,,,,,Chidusz,SEO
Miejska Biblioteka Publiczna,http://www.mbp.lubaczow.pl,http://www.mbp.lubaczow.pl,static,,,,,Chidusz,SEO
