Account name,Domain,From,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project,Role
Fundacja StoPociech,http://www.stopociech.pl/,http://www.stopociech.pl/s/index.php/2014-12-09-08-24-16/108-partnerzy,static,,,,,GW,SEO
Powiatowa Biblioteka Publiczna w Krasnymstawie,www.pbpkrasnystaw.pl,www.pbpkrasnystaw.pl,static,,,,,GW,SEO
Fundacja Dom Muzyka Seniora ,www.dommuzykaseniora.pl,www.dommuzykaseniora.pl,static,,,,,GW,SEO
Uczelnia Techniczno-Handlowa im. Heleny Chodkowskiej - Biblioteka Naukowa,http://www.uth.edu.pl,http://www.uth.edu.pl/dla-studenta/biblioteka/czasopisma-on-line,static,,,,,GW,SEO
Biblioteka Publiczna Miasta i Gminy Nowy Dwór Gdański,http://bpndg.org/,http://bpndg.org/,static,,,,,GW,SEO
Gminna Biblioteka Publiczna w Rudzińcu,www.bibliotekarudziniec.pl,www.bibliotekarudziniec.pl,static,,,,,GW,SEO
Stowarzyszenie Nasza Mała Ojczyzna,www.nmo.sarzyna.net,www.nmo.sarzyna.net,static,,,,,GW,SEO
Wojewódzka i Miejska Biblioteka Publiczna im. C. Norwida w Zielonej Górze,http://www.wimbp.zgora.pl/,http://www.wimbp.zgora.pl/,static,,,,,GW,SEO
Powiatowa i Miejska Biblioteka Publiczna ,www.skorcz.naszabiblioteka.com,www.skorcz.naszabiblioteka.com,static,,,,,GW,SEO
Biblioteka Publiczna Miasta i Gminy Lwówek,http://biblioteka.lwowek.com.pl,http://biblioteka.lwowek.com.pl,static,,,,,GW,SEO
Fundacja Miki - Centrum Rehabilitacji,http://fundacjamc.pl/,http://fundacjamc.pl/1-podatku-dla-fundacji/,static,,,,,GW,SEO
Warszawski Oddział Terenowy Polskiego Związku Krótkofalowców,www.wotpzk.org.pl,www.wotpzk.org.pl,static,,,,,GW,SEO
Wyższa Szkoła Zarządzania i Bankowości,http://www.wszib.edu.pl/biblioteka/,http://www.wszib.edu.pl/biblioteka/,static,,,,,GW,SEO
Biblioteka Główna-Uniwersytet Szczeciński,https://bg.szczecin.pl/,https://bg.szczecin.pl/e-czasopisma/,static,,,,,GW,SEO
Gminna Biblioteka Publiczna,http://www.biblioteka.czeremcha.pl/,http://www.biblioteka.czeremcha.pl,static,,,,,GW,SEO
Centrum Kultury - Biblioteki i Sportu w Lelisie,http://ckbislelis.pl/,http://ckbislelis.pl/index.php/biblioteka,static,,,,,GW,SEO
Biblioteka Uniwersytetu Ekonomicznego w Katowicach,,http://bg.ue.katowice.pl/,static,,,,,GW,SEO
Stowarzyszenie Pomocy Chorym Dzieciom Liver,www.liver.pl,http://www.liver.pl/wspieraja-nas/,static,,,,,GW,SEO
Fundacja Ochrony Dziedzictwa Przemysłowego Śląska Oddział w Jaworzynie Śląskiej ,http://muzeumtechniki.pl/partnerzy/,http://muzeumtechniki.pl/partnerzy/,static,,,,,GW,SEO
"Państwowa Wyższa Szkoła Zawodowa im.prof. Edwarda F. Szczepanika 
w Suwałkach",http://www.pwsz.suwalki.pl/biblioteka/,http://www.pwsz.suwalki.pl/biblioteka/,static,,,,,GW,SEO
ARTZI.NET Tomasz Zieliński,http://www.ostroleka.biz,http://www.ostroleka.biz,static,,,,,GW,SEO
Centrum Kultury - Biblioteki i Sportu w Lelisie | CK-BiS w Lelisie,,http://www.ckbislelis.pl/#biblioteka---lelis,static,,,,,GW,SEO
Ziemia i My: Centrum Edukacji Ekologicznej,http://www.ziemiaimy.org.pl/,http://www.ziemiaimy.org.pl/aktualnosci.php,static,,,,,GW,SEO
Gminny Osrodek Kultury w Czeremsze,www.gok.czeremcha.pl,www.gok.czeremcha.pl,static,,,,,GW,SEO
Politechnika Białostocka,http://biblioteka.pb.edu.pl/,http://biblioteka.pb.edu.pl/pl/content/cyfrowa-prenumerata-gazety-wyborczej-0,static,,,,,GW,SEO
Fundacja Edukacji Polonijnej,https://polonia.edu.pl/,https://polonia.edu.pl/partnerzy/,static,,,,,GW,SEO
Miejsko-Gminna i Powiatowa Biblioteka Publiczna im. Mikołaja Reja w Kazimierzy Wielkiej,,https://bibliotekakazimierzawielka.edupage.org/,static,,,,,GW,SEO
Towarzystwo Wspierania Twórczości Dziecięcej „SŁONECZNI”,www.sloneczni.pl,sloneczni.pl,static,,,,,GW,SEO
Wyższa Szkoła Biznesu i Przedsiębiorczości w Ostrowcu Św. ,http://www.wsbip.edu.pl/,http://www.wsbip.edu.pl/biblioteka/,static,,,,,GW,SEO
Stowarzyszenie Teatr Per Se,www.plockteatr.pl,www.plockteatr.pl,static,,,,,GW,SEO
Wojewódzka Biblioteka Publiczna w Opolu,,www.wbp.opole.pl,static,,,,,GW,SEO
Fundacja Instytut Rozwoju Regionalnego,www.firr.org.pl,www.firr.org.pl,static,,,,,GW,SEO
Miejska Biblioteka Publiczna w Kowarach,www.mbpkowary.pl,www.mbpkowary.pl,static,,,,,GW,SEO
