Account Name,From,To
,,
Arka Noego ,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/rozlicz/0000471634/
Arka Noego ,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/pobierz/0000471634/
Arka Noego ,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.iwop.pl/
Arka Noego ,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,https://www.pitax.pl/krs/0000253735/
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,https://www.iwop.pl/
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,https://www.pitax.pl/
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/pobierz/0000225750/
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/rozlicz/0000225750/
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/
Caritas Archidiecezji Wrocławskiej ,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/0000219742
Caritas Archidiecezji Wrocławskiej ,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/rozlicz?krs=0000219742&cel=
Caritas Archidiecezji Wrocławskiej ,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/formularze/0000219742/
Caritas Archidiecezji Wrocławskiej ,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.iwop.pl/
Caritas Archidiecezji Wrocławskiej ,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/
Caritas Diecezji Gliwickiej,http://caritasgliwice.pl/,https://www.pitax.pl/
Caritas Diecezji Gliwickiej,http://caritasgliwice.pl/,https://www.pitax.pl/rozlicz/0000247809/
Caritas Diecezji Gliwickiej,http://caritasgliwice.pl/,https://www.pitax.pl/pobierz/0000247809/
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl/,https://www.iwop.pl/
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl/,https://www.pitax.pl/
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,https://www.pitax.pl/krs/0000213751
Caritas Diecezji Sandomierskiej,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,http://www.pitax.pl/krs/formularze/0000213751/
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.iwop.pl/
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,https://www.pitax.pl/krs/0000361743/
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,https://www.pitax.pl/krs/0000361743/
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,"""https://www.pitax.pl/"
"Bielskie Stowarzyszenie Wspierania Edukacji i Rodziny ""Światło",http://szkolaskala.edu.pl/,https://www.iwop.pl/
Centrum Rozwoju Lokalnego,http://www.crl.org.pl,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/rozlicz/0000332814/?cel=centrumrozwoju
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.pitax.pl/
Centrum Rozwoju Lokalnego,http://crl.org.pl/kategorie/1-procent,https://www.iwop.pl/
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl,https://www.pitax.pl/pobierz?krs=0000245205
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/rozlicz?
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/pobierz?krs=0000245205
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/pobierz?krs=0000245205
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205
Chrześcijańska Fundacja Radość,http://www.fundacja-radosc.pl/przekaz-jeden-procent-podatku,https://www.pitax.pl/krs/0000245205/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/rozlicz/0000320274/?cel=Crazy%20Kids
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/pobierz/0000320274/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.iwop.pl/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/rozlicz/0000320274/?cel=Crazy%20Kids
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/opp/zestaw-formularzy-pit-dla-opp/?krs=0000320274
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/pobierz/0000320274/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.iwop.pl/
Chrześcijańskie Stowarzyszenie Dzieci i Młodzieży Nowe Pokolenie,http://www.nowepokolenie.org.pl,https://www.pitax.pl/
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl,https://www.pitax.pl/rozlicz/0000428469/
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/rozlicz/0000428469/
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/krs/0000428469
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.pitax.pl/
Czerwone Noski Klown w Szpitalu,http://www.czerwonenoski.pl/mozeszpomoc/1procent/#.WpGvDxPOW8U,https://www.iwop.pl/
