Account Name,Domain,From,To,Role,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project
Arka Noego ,http://fundacjaarkanoego.pl/,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/rozlicz/0000471634/,ONL,static,,698 631 693,sekretariat@fundacjaarkanoego.pl,,OPP
Arka Noego ,http://fundacjaarkanoego.pl/,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/pobierz/0000471634/,WIN,static,,698 631 693,sekretariat@fundacjaarkanoego.pl,,OPP
Arka Noego ,http://fundacjaarkanoego.pl/,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.iwop.pl/,SEO2,static,,699 631 693,sekretariat@fundacjaarkanoego.pl,,OPP
Arka Noego ,http://fundacjaarkanoego.pl/,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/,SEO,static,,699 631 693,sekretariat@fundacjaarkanoego.pl,,OPP
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,http://orkiestra.xf.pl/,https://www.pitax.pl/krs/0000253735/,LP,static,,77 4387 026 ,,Rafał Magosz,OPP
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,http://orkiestra.xf.pl/,https://www.iwop.pl/,SEO2,static,,77 4387 026 ,,Rafał Magosz,OPP
Bialska Orkiestra Dęta ,http://orkiestra.xf.pl/,http://orkiestra.xf.pl/,https://www.pitax.pl/,SEO,static,,77 4387 026 ,,Rafał Magosz,OPP
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/pobierz/0000225750/,WIN,static,,228281815,warszawa@caritas.pl,Bartek Pulcyn,OPP
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/rozlicz/0000225750/,ONL,static,,228281815,warszawa@caritas.pl,Bartek Pulcyn,OPP
Caritas Archidiecezji Warszawskiej ,http://warszawa.caritas.pl/,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/,SEO,static,,228281815,warszawa@caritas.pl,Bartek Pulcyn,OPP
Caritas Archidiecezji Wrocławskiej ,http://www.wroclaw.caritas.pl,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/0000219742,LP,static,,71 327 13 00,wroclaw@caritas.pl,Paweł Trawka,OPP
Caritas Archidiecezji Wrocławskiej ,http://www.wroclaw.caritas.pl,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/rozlicz?krs=0000219742&cel=,ONL,static,,71 327 13 00,wroclaw@caritas.pl,Paweł Trawka,OPP
