STOWARZYSZENIE POMOCY DZIECIOM Z PORAŻENIEM MÓZGOWYM "JASNY CEL",0000000168,
FUNDACJA NA RZECZ POMOCY DZIECIOM Z GRODZIEŃSZCZYZNY,0000000291,
FUNDACJA "ADAMA",0000000525,
KUJAWSKO-POMORSKI ZWIĄZEK LEKKIEJ ATLETYKI,0000000594,
"RYBNICKI KLUB PIŁKARSKI - SZKÓŁKA PIŁKARSKA ROW W RYBNIKU",0000000650,
GÓRNICZY KLUB SPORTOWY "PNIÓWEK 74" W PAWŁOWICACH ŚLĄSKICH,0000000668,
GLIWICKI KLUB KARATE KYOKUSHIN,0000000715,
ZAKŁADOWY KLUB SPORTOWY "STAL" RZESZÓW,0000000898,
STOWARZYSZENIE NA RZECZ ROZWOJU WSI MECHNICA,0000000963,
LUDOWY KLUB SPORTOWY "BUK" RUDY Z SIEDZIBĄ W RUDACH,0000001005,
"OGNISKO TOWARZYSTWA KRZEWIENIA KULTURY FIZYCZNEJ SZCZYGŁOWICE",0000001095,
STOWARZYSZENIE SPORTU OSÓB NIEPEŁNOSPRAWNYCH "SSON",0000001106,
MIEJSKI KOSZYKARSKI KLUB SPORTOWY "RYBNIK" W RYBNIKU,0000001109,
LUDOWY KLUB SPORTOWY "RÓJ" W ŻORACH,0000001122,
MIEJSKI KLUB SZACHOWY W RYBNIKU,0000001164,
ELBLĄSKIE STOWARZYSZENIE ORGANIZATORÓW POMOCY SPOŁECZNEJ W ELBLĄGU,0000001304,
ELBLĄSKIE STOWARZYSZENIE WSPIERANIA INICJATYW POZARZĄDOWYCH,0000001316,
TOWARZYSTWO SPORTOWE "ISKRA" LASOWICE Z SIEDZIBĄ W TARNOWSKICH GÓRACH,0000001330,
EWANGELICKIE TOWARZYSTWO EDUKACYJNE W GLIWICACH,0000001366,
GÓRNICZY KLUB SPORTOWY "URANIA" PRZY KOPALNI WĘGLA KAMIENNEGO "POLSKA - WIREK",0000001450,
KLUB SPORTOWY "CARBO-GLIWICE" W GLIWICACH,0000001451,
DOM WSPÓŁPRACY POLSKO-NIEMIECKIEJ,0000001456,
LUDOWY KLUB SPORTOWY "START" MSZANA W MSZANIE,0000001509,
JASTRZĘBSKI KLUB HOKEJOWY GKS JASTRZĘBIE,0000001575,
SIATKARSKI KLUB GÓRNIK RADLIN Z SIEDZIBĄ W RADLINIE,0000001666,
STOWARZYSZENIE KULTURY ZIEMI RACIBORSKIEJ "ŹRÓDŁO",0000001676,
KLUB SPORTOWY "NAPRZÓD" RYDUŁTOWY,0000001681,
KLUB SPORTOWY "PŁOMIEŃ" POŁOMIA,0000001685,
STOWARZYSZENIE REKREACYJNO-SPORTOWE "GWIAZDA" RUDA ŚLĄSKA,0000001693,
STOWARZYSZENIE "SERDECZNI" Z SIEDZIBĄ W TARNOWSKICH GÓRACH,0000001715,
STOWARZYSZENIE OŚWIATOWE "RODZICE-DZIECIOM",0000001718,
"BOKSERSKI KLUB SPORTOWY JASTRZĘBIE",0000001767,
STOWARZYSZENIE PROFILAKTYKI I WSPIERANIA ROZWOJU OSOBOWOŚCI DZIECI I MŁODZIEŻY "WZRASTANIE" Z SIEDZIBĄ W PRZEMYŚLU,0000001812,
STOWARZYSZENIE PRZYJACIÓŁ CHORYCH "HOSPICJUM" W GLIWICACH,0000001834,
TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW WOJEWÓDZTWA ŚLĄSKIEGO W RACIBORZU,0000001895,
KLUB INNER WHEEL W LUBLINIE,0000001950,
FUNDACJA GIMNAZJUM I LICEUM AKADEMICKIE,0000001971,
STOWARZYSZENIE SCLEROSIS MULTIPLEX W  KROTOSZYNIE,0000001973,
BRANIEWSKIE STOWARZYSZENIE ABSTYNENCKIE,0000002043,
TOWARZYSTWO MIŁOŚNIKÓW RYDUŁTÓW W RYDUŁTOWACH,0000002098,
SOSNOWIECKIE STOWARZYSZENIE AMAZONEK "ŻYCIE",0000002116,
LUDOWY KLUB SPORTOWY "STRZELEC" RZUCHÓW Z SIEDZIBĄ W RZUCHOWIE,0000002143,
"FUNDACJA IM. JACKA PONICKIEGO",0000002148,
FUNDACJA NA RZECZ LUDZI OSAMOTNIONYCH "SREBRNE LATA",0000002163,
HOSPICJUM IM. ŚW. JÓZEFA.ZESPÓŁ OPIEKI PALIATYWNEJ W RACIBORZU,0000002168,
STOWARZYSZENIE AMAZONEK POWIATU MIELECKIEGO,0000002188,
RYBNICKI MŁODZIEŻOWY KLUB SPORTOWY W RYBNIKU,0000002213,
GLIWICKIE TOWARZYSTWO SZKOLNE IM. JANUSZA KORCZAKA W GLIWICACH,0000002344,
KLUB SPORTOWY "KODOKAN",0000002402,
KLUB ŻEGLARSKI OSTRÓDA,0000002406,
KLUB ŻEGLARSKI "ORKAN",0000002503,
POLSKI ZWIĄZEK GŁUCHYCH ODDZIAŁ OPOLSKI,0000002518,
