Account name,Domain,From,static/dynamic link,no-follow,Phone,Email,Primary Contact,Project,Role
Stowarzyszenie Aktywności Obywatelskiej Bona Fides,http://www.bonafides.pl/,http://www.bonafides.pl/,static,,,,,GW,SEO
Stowarzyszenie na Rzecz Leczenia Ciężkich Krwotoków,http://krwotoki.org/,http://krwotoki.org/kontakt,static,,,,,GW,SEO
Stowarzyszenie Ziemia i My - Centrum Edukacji Ekologicznej,www.ziemiaimy.org.pl,www.ziemiaimy.org.pl,static,,,,,GW,SEO
Dom Muzyka Seniora w Kątach,http://dommuzykaseniora.pl/,http://dommuzykaseniora.pl/,static,,,,,GW,LP
Stowarzyszenie Kulturalne Kostroma,http://kostroma.pl/,http://kostroma.pl/podziekowania/,static,,,,,GW,SEO
Stowarzyszenia Nasza Mała Ojczyzna,http://www.nmo.sarzyna.net/,http://www.nmo.sarzyna.net/,static,,,,,GW,SEO
Stowarzyszenia Nasza Mała Ojczyzna,http://www.nmo.sarzyna.net/,http://www.nmo.sarzyna.net/,static,,,,,GW,ONL
Fundacje Miki - Centrum Rehabilitacji,http://fundacjamc.pl/,http://fundacjamc.pl/1-podatku-dla-fundacji/,static,,,,,GW,LP
Społeczny Komitet ds. AIDS,http://www.skaids.org/,http://www.skaids.org/,static,TAK,,,,GW,SEO
Społeczny Komitet ds. AIDS,http://www.skaids.org/,http://www.skaids.org/pl/przekaz1procent,static,,,,,GW,LP
Fundacja Serce Dziecka,http://www.sercedziecka.org.pl/,http://www.sercedziecka.org.pl/,-,-,-,-,-,GW,-
Stowarzyszenie MOTYL,http://www.stowarzyszeniemotyl.org/,http://www.stowarzyszeniemotyl.org/index.php?module=news&page=news&nid=73,static,,,,,GW,SEO
Liver stowarzyszenie pomocy chorym dzieciom,http://www.liver.pl/,http://www.liver.pl/wspieraja-nas/,static,,,,,GW,SEO
Fundacja po DRUGIE,www.podrugie.pl,www.podrugie.pl,static,,,,,GW,SEO
Muzeum Przemysłu i Kolejnictwa na Śląsku,http://muzeumtechniki.pl/,http://muzeumtechniki.pl/partnerzy/,static,,,,,GW,SEO
Gminny Ośrodek Kultury Czeremcha,www.gok.czeremcha.pl,www.gok.czeremcha.pl,static,,,,,GW,SEO
Suwalska Federacja Organizacji Pozarządowych RAZEM,http://federacjasuwalki.pl/,http://federacjasuwalki.pl/,static,,,,,GW,SEO
Stowarzyszenie Rozwoju Gminy Zielonki,http://srgz.zielonki.pl,http://srgz.zielonki.pl,static,,,,,GW,LP
Polska Fundacja im. Roberta Schumana,,http://schuman.pl/pl/partnerzy,-,-,-,-,-,GW,-
Fundacja Dominikański Ośrodek Liturgiczny,http://www.liturgia.dominikanie.pl/,http://www.liturgia.dominikanie.pl/wspolpracownicy.html,static,,,,,GW,SEO
Fundacja Sztuk Wizualnych,http://www.sztukawizualna.org/,http://www.sztukawizualna.org/pl/?page_id=502,static,,,,,GW,SEO
Fundacja Pociechom,http://pociechom.org.pl/,http://pociechom.org.pl/partnerzy/,static,,,,,GW,SEO
FUNDACJA STO POCIECH,http://www.stopociech.pl,http://www.stopociech.pl/s/index.php/2014-12-09-08-24-16/108-partnerzy,static,,,,,GW,SEO
FUNDACJA BULLERBYN,http://bullerbyn.org.p,http://bullerbyn.org.pl/wsparcie-dla-fundacji/,static,,,,,GW,SEO
Centrum Kultury i Biblioteka Publiczna w Malanowie,www.ckibp.malanow.pl,www.ckibp.malanow.pl,-,-,-,-,-,GW,-
Gminna Biblioteka Publiczna w Czerwonaku,http://www.biblioteka.czerwonak.pl/,http://www.biblioteka.czerwonak.pl/,static,,,,,GW,SEO
Powiatowej Biblioteki Publicznej w Krasnymstawie,http://www.pbpkrasnystaw.pl/,http://www.pbpkrasnystaw.pl/,static,,,,,GW,SEO
Miejska Biblioteka Publiczna im. Włodzimierza Pietrzaka w Turku,http://www.biblioteka.turek.pl/,http://www.biblioteka.turek.pl/,static,,,,,GW,SEO
Biblioteka Publiczna Gminy Linia,http://bpgl.pl/,http://bpgl.pl/,static,,,,,GW,SEO
Biblioteka UTH,www.uth.edu.pl,http://www.uth.edu.pl/dla-studenta/biblioteka/czasopisma-on-line,static,,,,,GW,SEO
Biblioteka Klubu Kuźnia Ośrodka Kultury im. C. K. Norwida,http://www.biblioteka.kuznia.edu.pl/,http://www.biblioteka.kuznia.edu.pl/,-,-,-,-,-,GW,-
Biblioteki Publicznej Miasta i Gminy Nowy Dwór Gdański,www.bpndg.org,www.bpndg.org,static,,,,,GW,SEO
Wojewódzka Biblioteka Publiczna w Krakowie,www.rajska.info,www.rajska.info,static,,,,,GW,SEO
biblioteka Lwówek,http://biblioteka.lwowek.com.pl/,http://biblioteka.lwowek.com.pl/,static,,,,,GW,SEO
Biblioteka Politechniki Lubelskiej,http://biblioteka.pollub.pl/,http://biblioteka.pollub.pl/zasoby/e-czytelnia,static,,,,,GW,SEO
Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,http://www.am.katowice.pl/,http://www.am.katowice.pl/?a=biblioteka,static,,,,,GW,SEO
Wojewódzka Biblioteka Publiczna im. E. Smołki,http://wbp.opole.pl/,http://wbp.opole.pl/index.php?option=com_content&view=article&id=2365,static,,,,,GW,SEO
Gminna Biblioteka w Rudzińcu,https://www.bibliotekarudziniec.pl/,https://www.bibliotekarudziniec.pl/index.php,static,,,,,GW,SEO
Biblioteka Państwowej Wyższej Szkoły Zawodowej im. prof. Edwarda F. Szczepanika w Suwałkach,http://www.pwsz.suwalki.pl/,http://www.pwsz.suwalki.pl/biblioteka//,static,,,,,GW,SEO
Biblioteka Główna Uniwersytetu Ekonomicznego w Katowicach,http://bg.ue.katowice.pl/,http://bg.ue.katowice.pl/,static,,,,,GW,SEO
Powiatowa i Miejska Biblioteka Publiczna w Brzesku,www.bibliotekabrzesko.pl,www.bibliotekabrzesko.pl,static,,,,,GW,SEO
Powiatowa i Miejska Biblioteki Publiczna w Skórczu,http://skorcz.naszabiblioteka.com/,http://skorcz.naszabiblioteka.com/,static,,,,,GW,SEO
Gminnej Biblioteki Publicznej w Ujeździe,http://biblioteka-ujazd.pl/,http://biblioteka-ujazd.pl/,static,,,,,GW,SEO
Biblioteka Główna Uniwersytetu Szczecińskiego,http://bg.szczecin.pl/,http://bg.szczecin.pl/e-czasopisma/,static,,,,,GW,SEO
Miejsko-Gminna Biblioteka Publiczna w Iłży,http://www.biblioteka.ilza.pl/,http://www.biblioteka.ilza.pl/index.php?option=com_content&view=article&id=226:artyku-powsta-we-wspopracy-z-portalem-pitaxpl&catid=220:artyku-powsta-we-wspopracy-z-portalem-pitaxpl&Itemid=1,static,,,,,GW,SEO
Biblioteka Publiczna Gminy Granowo,http://biblioteka.granowo.pl/,http://biblioteka.granowo.pl,static,,,,,GW,SEO
Centrum Kultury-Biblioteki i Sportu w Lelisie,http://www.ckbislelis.pl/,http://www.ckbislelis.pl/index.php/biblioteka/11-gazeta-wygorcza-dla-naszych-czytelnkow,static,,,,,GW,SEO
Powiatowa i Miejska Biblioteka Publiczna w Łaziskach Górnych,http://www.biblioteka.laziska.pl/,"http://www.biblioteka.laziska.pl/document,0,0,558,0,cyfrowa_prenumerata_gazety_wyborczej.html",static,,,,,GW,SEO
Biblioteka Publiczna Gminy Złotniki Kujawskie,http://www.zlotniki.naszabiblioteka.com/,http://www.zlotniki.naszabiblioteka.com/,static,,,,,GW,SEO
Gminna Biblioteka Publiczna w Samsonowie,http://www.gbp-samsonow.pl/,www.gbp-samsonow.pl,static,,,,,GW,SEO
Biblioteka Wyższej Szkoły Biznesu i Przedsiębiorczości w Ostrowcu Św.,http://www.wsbip.edu.pl,http://www.wsbip.edu.pl,-,-,-,-,,GW,-
Olsztyńskie Planetarium i Obserwatorium Astronomiczne,http://www.planetarium.olsztyn.pl/,http://www.planetarium.olsztyn.pl/,static,,,,,GW,SEO
ARTZI.NET Tomasz Zieliński Kancelaria Rachunkowa,http://www.ostroleka.biz/,www.ostroleka.biz,static,,,,,GW,SEO
ekologia.guru,http://ekologia.guru/,http://ekologia.guru/biznes-finanse/item/720-pracownicze-koszty-uzyskania-przychodow-w-pit-2016,static,,,,,ART,SEO
nslowo.pl,Niedostępna,http://nslowo.pl/zawsze-na-czasie/finanse/item/1300-faktyczne-koszty-uzyskania-przychodow-w-rozliczeniu-pit-2016,-,-,-,-,,ART,-
przyjaznawarszawa.pl,http://przyjaznawarszawa.pl/,http://przyjaznawarszawa.pl/miasto-pisze/item/1041-zwrot-podatku-dla-studenta,static,Tak,,,,ART,SEO
